message,attributes,tags,timestamp
"[2026-02-05 06:50:40,948: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969346791Z
"[2026-02-05 06:50:40,949: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969355218Z
"[2026-02-05 06:50:40,948: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969359334Z
"[2026-02-05 06:50:40,949: WARNING/MainProcess] sys.exit(_main())","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969360694Z
"[2026-02-05 06:50:40,949: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969363522Z
"[2026-02-05 06:50:40,949: WARNING/MainProcess] ^","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969369594Z
"[2026-02-05 06:50:40,948: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969372179Z
"[2026-02-05 06:50:40,949: WARNING/MainProcess] ^","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969375845Z
"[2026-02-05 06:50:40,949: WARNING/MainProcess] ^","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969381981Z
"[2026-02-05 06:50:40,948: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""202518c3-bcab-45a1-b912-332f28d94b00"",""replica"":""59df49eb-1235-4048-abe8-21a68e74e9c8""}",2026-02-05T06:50:40.969384408Z
